Tanggal,No_bukti,Keterangan,Kode,Account,Kategory, Debet , Kredit , Saldo ,   Stock ,   Saldo Stock Ayam ,   Harga Satuan , penjualan , Cumm_penj ,  Saldo_deff ,   beban ,  Cummbeban 
31-May-19,,Total Beban Bulan May,BPJ,Beban Harga Pokok,Beban," 17,913,569 ",," 17,913,569 ", -   ,, -   , -   ,," 17,913,569 ",17913569,
31-May-19,,Total Penjualan Bulan May,PJTK,Penjualan Toko,Penjualan,," 22,987,000 "," (5,073,431)", -   ,, -   ," 22,987,000 ",," (22,987,000)",0,
31-May-19,,Laba Rugi Bulan May,LR,Laba Rugi,Laba Rugi," 5,073,431 ",, -   , -   ,, -   , -   , -   ," 5,073,431 ",0, -   
1-Jun-19,,Fixed asset Pindahan Mei 2019,FXDA,Fixed Asset,Harta," 29,768,762 ",," 29,768,762 ", -   ,0, -   , -   , -   ," 29,768,762 ",0, -   
1-Jun-19,,Kas di Bank Pindahan Mei 2019,KASBANK,Kas di Bank,Harta," 21,411,556 ",," 51,180,318 ", -   ,0, -   , -   , -   ," 21,411,556 ",0, -   
1-Jun-19,,Kas di Dompet Pindahan Mei 2019,KAS,Kas dompet,Harta," 3,078,500 ",," 54,258,818 ", -   ,0, -   , -   , -   ," 3,078,500 ",0, -   
1-Jun-19,,Persediaan Ayam+Sambal+Lalap Pindahan Mei 2019,PAYM,Persediaan Ayam+Sambal+Lalap,Harta," 1,792,000 ",," 56,050,818 ", 43 ,43," 41,674.4 ", -   , -   ," 1,792,000 ",0, -   
1-Jun-19,,Persediaan Beras Pindahan Mei 2019,PBRS,Persediaan Beras,Harta, -   ,," 56,050,818 ", -   ,43, -   , -   , -   , -   ,0, -   
1-Jun-19,,Sewa Toko Pindahan Mei 2019,SWTK,Sewa Toko,Harta," 23,833,333 ",," 79,884,151 ", -   ,43, -   , -   , -   ," 23,833,333 ",0, -   
1-Jun-19,,hutang pembelian ayam,HUTANG,Hutang,Hutang ,," 2,240,000 "," 77,644,151 ", -   ,43, -   , -   , -   ," (2,240,000)",0, -   
1-Jun-19,,piutang bukber irenk,PIUTANG,Piutang,Harta," 941,000 ",," 78,585,151 ", -   ,43, -   , -   , -   ," 941,000 ",0, -   
1-Jun-19,,Modal bulan Mei 2019,MODAL,Modal ,Modal,," 73,451,721 "," 5,133,430 ", -   ,43, -   , -   , -   ," (73,451,721)",0, -   
1-Jun-19,,Laba Bulan Mei 2019,MODAL,Modal ,Modal,," 5,133,430 ", -   , -   ,43, -   , -   , -   ," (5,133,430)",0, -   
1-Jun-19,,"Penjualan ayam by Toko 11,5 ekor",KAS,Kas dompet,Harta," 692,000 ",," 692,000 ", (11.50),31.5, -   , -   , -   ," 692,000 ",0, -   
1-Jun-19,,"Penjualan ayam by Toko 11,5 ekor",PJTK,Penjualan Toko,Penjualan,," 692,000 ", -   , -   ,31.5, -   ," 692,000 "," 692,000 "," (692,000)",0, -   
1-Jun-19,,"Persediaan ayam (dikurangi 15,5 ekor)",BPJ,Beban Harga Pokok,Beban," 402,500 ",," 402,500 ", -   ,31.5, -   , -   , -   ," 402,500 ",402500," 402,500 "
1-Jun-19,,"Persediaan ayam (dikurangi 15,5 ekor)",PAYM,Persediaan Ayam+Sambal+Lalap,Harta,," 402,500 ", -   , -   ,31.5, -   , -   , -   ," (402,500)",0, -   
1-Jun-19,,Belanja stock bahan bumbu ayam ,PAYM,Persediaan Ayam+Sambal+Lalap,Harta," 750,000 ",," 750,000 ", -   ,31.5, -   , -   , -   ," 750,000 ",0, -   
1-Jun-19,,Belanja stock bahan bumbu ayam ,KAS,Kas dompet,Harta,," 750,000 ", -   , -   ,31.5, -   , -   , -   ," (750,000)",0, -   
2-Jun-19,,"Penjualan ayam by Toko 13,5 ekor",KAS,Kas dompet,Harta," 812,000 ",," 812,000 ", (13.50),18, -   , -   , -   ," 812,000 ",0, -   
2-Jun-19,,"Penjualan ayam by Toko 13,5 ekor",PJTK,Penjualan Toko,Penjualan,," 812,000 ", -   , -   ,18, -   ," 812,000 "," 1,504,000 "," (812,000)",0, -   
